isoCode,date,ageRange,peopleVaccinatedPer100,peopleFullyVaccinatedPer100,peopleBoosterPer100
ARG,2020-05-05,60-69,0.0,0.0,0.0
ARG,2020-05-05,70-79,0.0,0.0,0.0
ARG,2020-05-05,80-89,0.0,0.0,0.0
ARG,2020-05-05,90-99,0.0,0.0,0.0
ARG,2020-05-06,100+,0.0,0.0,0.0
ARG,2020-05-06,12-17,0.0,0.0,0.0
ARG,2020-05-06,18-29,0.0,0.0,0.0
ARG,2020-05-06,3-11,0.0,0.0,0.0
ARG,2020-05-06,30-39,0.0,0.0,0.0
ARG,2020-05-06,40-49,0.0,0.0,0.0
ARG,2020-05-06,50-59,0.0,0.0,0.0
ARG,2020-05-06,60-69,0.0,0.0,0.0
ARG,2020-05-06,70-79,0.0,0.0,0.0
ARG,2020-05-06,80-89,0.0,0.0,0.0
ARG,2020-05-06,90-99,0.0,0.0,0.0
ARG,2020-05-07,100+,0.0,0.0,0.0
ARG,2020-05-07,12-17,0.0,0.0,0.0
ARG,2020-05-07,18-29,0.0,0.0,0.0
ARG,2020-05-07,3-11,0.0,0.0,0.0
ARG,2020-05-07,30-39,0.0,0.0,0.0
ARG,2020-05-07,40-49,0.0,0.0,0.0
ARG,2020-05-07,50-59,0.0,0.0,0.0
ARG,2020-05-07,60-69,0.0,0.0,0.0
ARG,2020-05-07,70-79,0.0,0.0,0.0
ARG,2020-05-07,80-89,0.0,0.0,0.0
ARG,2020-05-07,90-99,0.0,0.0,0.0
ARG,2020-05-08,100+,0.0,0.0,0.0
ARG,2020-05-08,12-17,0.0,0.0,0.0
ARG,2020-05-08,18-29,0.0,0.0,0.0
ARG,2020-05-08,3-11,0.0,0.0,0.0
ARG,2020-05-08,30-39,0.0,0.0,0.0
ARG,2020-05-08,40-49,0.0,0.0,0.0
ARG,2020-05-08,50-59,0.0,0.0,0.0
ARG,2020-05-08,60-69,0.0,0.0,0.0
ARG,2020-05-08,70-79,0.0,0.0,0.0
ARG,2020-05-08,80-89,0.0,0.0,0.0
ARG,2020-05-08,90-99,0.0,0.0,0.0
ARG,2020-05-09,100+,0.0,0.0,0.0
ARG,2020-05-09,12-17,0.0,0.0,0.0
ARG,2020-05-09,18-29,0.0,0.0,0.0
ARG,2020-05-09,3-11,0.0,0.0,0.0
ARG,2020-05-09,30-39,0.0,0.0,0.0
ARG,2020-05-09,40-49,0.0,0.0,0.0
ARG,2020-05-09,50-59,0.0,0.0,0.0
ARG,2020-05-09,60-69,0.0,0.0,0.0
ARG,2020-05-09,70-79,0.0,0.0,0.0
ARG,2020-05-09,80-89,0.0,0.0,0.0
ARG,2020-05-09,90-99,0.0,0.0,0.0
ARG,2020-05-10,100+,0.0,0.0,0.0
ARG,2020-05-10,12-17,0.0,0.0,0.0
ARG,2020-05-10,18-29,0.0,0.0,0.0
ARG,2020-05-10,3-11,0.0,0.0,0.0
ARG,2020-05-10,30-39,0.0,0.0,0.0
ARG,2020-05-10,40-49,0.0,0.0,0.0
ARG,2020-05-10,50-59,0.0,0.0,0.0
ARG,2020-05-10,60-69,0.0,0.0,0.0
ARG,2020-05-10,70-79,0.0,0.0,0.0
ARG,2020-05-10,80-89,0.0,0.0,0.0
ARG,2020-05-10,90-99,0.0,0.0,0.0
ARG,2020-05-11,100+,0.0,0.0,0.0
ARG,2020-05-11,12-17,0.0,0.0,0.0
ARG,2020-05-11,18-29,0.0,0.0,0.0
ARG,2020-05-11,3-11,0.0,0.0,0.0
ARG,2020-05-11,30-39,0.0,0.0,0.0
ARG,2020-05-11,40-49,0.0,0.0,0.0
ARG,2020-05-11,50-59,0.0,0.0,0.0
ARG,2020-05-11,60-69,0.0,0.0,0.0
ARG,2020-05-11,70-79,0.0,0.0,0.0
ARG,2020-05-11,80-89,0.0,0.0,0.0
ARG,2020-05-11,90-99,0.0,0.0,0.0
ARG,2020-05-12,100+,0.0,0.0,0.0
ARG,2020-05-12,12-17,0.0,0.0,0.0
ARG,2020-05-12,18-29,0.0,0.0,0.0
ARG,2020-05-12,3-11,0.0,0.0,0.0
ARG,2020-05-12,30-39,0.0,0.0,0.0
ARG,2020-05-12,40-49,0.0,0.0,0.0
ARG,2020-05-12,50-59,0.0,0.0,0.0
ARG,2020-05-12,60-69,0.0,0.0,0.0
ARG,2020-05-12,70-79,0.0,0.0,0.0
ARG,2020-05-12,80-89,0.0,0.0,0.0
ARG,2020-05-12,90-99,0.0,0.0,0.0
ARG,2020-05-13,100+,0.0,0.0,0.0
ARG,2020-05-13,12-17,0.0,0.0,0.0
ARG,2020-05-13,18-29,0.0,0.0,0.0
ARG,2020-05-13,3-11,0.0,0.0,0.0
ARG,2020-05-13,30-39,0.0,0.0,0.0
ARG,2020-05-13,40-49,0.0,0.0,0.0
ARG,2020-05-13,50-59,0.0,0.0,0.0
ARG,2020-05-13,60-69,0.0,0.0,0.0
ARG,2020-05-13,70-79,0.0,0.0,0.0
ARG,2020-05-13,80-89,0.0,0.0,0.0
ARG,2020-05-13,90-99,0.0,0.0,0.0
ARG,2020-05-14,100+,0.0,0.0,0.0
ARG,2020-05-14,12-17,0.0,0.0,0.0
ARG,2020-05-14,18-29,0.0,0.0,0.0
ARG,2020-05-14,3-11,0.0,0.0,0.0
ARG,2020-05-14,30-39,0.0,0.0,0.0
ARG,2020-05-14,40-49,0.0,0.0,0.0
ARG,2020-05-14,50-59,0.0,0.0,0.0
ARG,2020-05-14,60-69,0.0,0.0,0.0
ARG,2020-05-14,70-79,0.0,0.0,0.0
ARG,2020-05-14,80-89,0.0,0.0,0.0
ARG,2020-05-14,90-99,0.0,0.0,0.0
ARG,2020-05-15,100+,0.0,0.0,0.0
ARG,2020-05-15,12-17,0.0,0.0,0.0
ARG,2020-05-15,18-29,0.0,0.0,0.0
ARG,2020-05-15,3-11,0.0,0.0,0.0
ARG,2020-05-15,30-39,0.0,0.0,0.0
ARG,2020-05-15,40-49,0.0,0.0,0.0
ARG,2020-05-15,50-59,0.0,0.0,0.0
ARG,2020-05-15,60-69,0.0,0.0,0.0
ARG,2020-05-15,70-79,0.0,0.0,0.0
ARG,2020-05-15,80-89,0.0,0.0,0.0
ARG,2020-05-15,90-99,0.0,0.0,0.0
ARG,2020-05-16,100+,0.0,0.0,0.0
ARG,2020-05-16,12-17,0.0,0.0,0.0
ARG,2020-05-16,18-29,0.0,0.0,0.0
ARG,2020-05-16,3-11,0.0,0.0,0.0
ARG,2020-05-16,30-39,0.0,0.0,0.0
ARG,2020-05-16,40-49,0.0,0.0,0.0
ARG,2020-05-16,50-59,0.0,0.0,0.0
ARG,2020-05-16,60-69,0.0,0.0,0.0
ARG,2020-05-16,70-79,0.0,0.0,0.0
ARG,2020-05-16,80-89,0.0,0.0,0.0
ARG,2020-05-16,90-99,0.0,0.0,0.0
ARG,2020-05-17,100+,0.0,0.0,0.0
ARG,2020-05-17,12-17,0.0,0.0,0.0
ARG,2020-05-17,18-29,0.0,0.0,0.0
ARG,2020-05-17,3-11,0.0,0.0,0.0
ARG,2020-05-17,30-39,0.0,0.0,0.0
ARG,2020-05-17,40-49,0.0,0.0,0.0
ARG,2020-05-17,50-59,0.0,0.0,0.0
ARG,2020-05-17,60-69,0.0,0.0,0.0
ARG,2020-05-17,70-79,0.0,0.0,0.0
ARG,2020-05-17,80-89,0.0,0.0,0.0
ARG,2020-05-17,90-99,0.0,0.0,0.0
ARG,2020-05-18,100+,0.0,0.0,0.0
ARG,2020-05-18,12-17,0.0,0.0,0.0
ARG,2020-05-18,18-29,0.0,0.0,0.0
ARG,2020-05-18,3-11,0.0,0.0,0.0
ARG,2020-05-18,30-39,0.0,0.0,0.0
ARG,2020-05-18,40-49,0.0,0.0,0.0
ARG,2020-05-18,50-59,0.0,0.0,0.0
ARG,2020-05-18,60-69,0.0,0.0,0.0
ARG,2020-05-18,70-79,0.0,0.0,0.0
ARG,2020-05-18,80-89,0.0,0.0,0.0
ARG,2020-05-18,90-99,0.0,0.0,0.0
ARG,2020-05-19,100+,0.0,0.0,0.0
ARG,2020-05-19,12-17,0.0,0.0,0.0
ARG,2020-05-19,18-29,0.0,0.0,0.0
ARG,2020-05-19,3-11,0.0,0.0,0.0
ARG,2020-05-19,30-39,0.0,0.0,0.0
ARG,2020-05-19,40-49,0.0,0.0,0.0
ARG,2020-05-19,50-59,0.0,0.0,0.0
ARG,2020-05-19,60-69,0.0,0.0,0.0
ARG,2020-05-19,70-79,0.0,0.0,0.0
ARG,2020-05-19,80-89,0.0,0.0,0.0
ARG,2020-05-19,90-99,0.0,0.0,0.0
ARG,2020-05-20,100+,0.0,0.0,0.0
ARG,2020-05-20,12-17,0.0,0.0,0.0
ARG,2020-05-20,18-29,0.0,0.0,0.0
ARG,2020-05-20,3-11,0.0,0.0,0.0
ARG,2020-05-20,30-39,0.0,0.0,0.0
ARG,2020-05-20,40-49,0.0,0.0,0.0
ARG,2020-05-20,50-59,0.0,0.0,0.0
ARG,2020-05-20,60-69,0.0,0.0,0.0
ARG,2020-05-20,70-79,0.0,0.0,0.0
ARG,2020-05-20,80-89,0.0,0.0,0.0
ARG,2020-05-20,90-99,0.0,0.0,0.0
ARG,2020-05-21,100+,0.0,0.0,0.0
ARG,2020-05-21,12-17,0.0,0.0,0.0
ARG,2020-05-21,18-29,0.0,0.0,0.0
ARG,2020-05-21,3-11,0.0,0.0,0.0
ARG,2020-05-21,30-39,0.0,0.0,0.0
ARG,2020-05-21,40-49,0.0,0.0,0.0
ARG,2020-05-21,50-59,0.0,0.0,0.0
ARG,2020-05-21,60-69,0.0,0.0,0.0
ARG,2020-05-21,70-79,0.0,0.0,0.0
ARG,2020-05-21,80-89,0.0,0.0,0.0
ARG,2020-05-21,90-99,0.0,0.0,0.0
ARG,2020-05-22,100+,0.0,0.0,0.0
ARG,2020-05-22,12-17,0.0,0.0,0.0
ARG,2020-05-22,18-29,0.0,0.0,0.0
ARG,2020-05-22,3-11,0.0,0.0,0.0
ARG,2020-05-22,30-39,0.0,0.0,0.0
ARG,2020-05-22,40-49,0.0,0.0,0.0
ARG,2020-05-22,50-59,0.0,0.0,0.0
ARG,2020-05-22,60-69,0.0,0.0,0.0
ARG,2020-05-22,70-79,0.0,0.0,0.0
ARG,2020-05-22,80-89,0.0,0.0,0.0
ARG,2020-05-22,90-99,0.0,0.0,0.0
ARG,2020-05-23,100+,0.0,0.0,0.0
ARG,2020-05-23,12-17,0.0,0.0,0.0
ARG,2020-05-23,18-29,0.0,0.0,0.0
ARG,2020-05-23,3-11,0.0,0.0,0.0
ARG,2020-05-23,30-39,0.0,0.0,0.0
ARG,2020-05-23,40-49,0.0,0.0,0.0
ARG,2020-05-23,50-59,0.0,0.0,0.0
ARG,2020-05-23,60-69,0.0,0.0,0.0
ARG,2020-05-23,70-79,0.0,0.0,0.0
ARG,2020-05-23,80-89,0.0,0.0,0.0
ARG,2020-05-23,90-99,0.0,0.0,0.0
ARG,2020-05-24,100+,0.0,0.0,0.0
ARG,2020-05-24,12-17,0.0,0.0,0.0
ARG,2020-05-24,18-29,0.0,0.0,0.0
ARG,2020-05-24,3-11,0.0,0.0,0.0
ARG,2020-05-24,30-39,0.0,0.0,0.0
ARG,2020-05-24,40-49,0.0,0.0,0.0
ARG,2020-05-24,50-59,0.0,0.0,0.0
ARG,2020-05-24,60-69,0.0,0.0,0.0
ARG,2020-05-24,70-79,0.0,0.0,0.0
ARG,2020-05-24,80-89,0.0,0.0,0.0
ARG,2020-05-24,90-99,0.0,0.0,0.0
ARG,2020-05-25,100+,0.0,0.0,0.0
ARG,2020-05-25,12-17,0.0,0.0,0.0
ARG,2020-05-25,18-29,0.0,0.0,0.0
ARG,2020-05-25,3-11,0.0,0.0,0.0
ARG,2020-05-25,30-39,0.0,0.0,0.0
ARG,2020-05-25,40-49,0.0,0.0,0.0
ARG,2020-05-25,50-59,0.0,0.0,0.0
ARG,2020-05-25,60-69,0.0,0.0,0.0
ARG,2020-05-25,70-79,0.0,0.0,0.0
ARG,2020-05-25,80-89,0.0,0.0,0.0
ARG,2020-05-25,90-99,0.0,0.0,0.0
ARG,2020-05-26,100+,0.0,0.0,0.0
ARG,2020-05-26,12-17,0.0,0.0,0.0
ARG,2020-05-26,18-29,0.0,0.0,0.0
ARG,2020-05-26,3-11,0.0,0.0,0.0
ARG,2020-05-26,30-39,0.0,0.0,0.0
ARG,2020-05-26,40-49,0.0,0.0,0.0
ARG,2020-05-26,50-59,0.0,0.0,0.0
ARG,2020-05-26,60-69,0.0,0.0,0.0
ARG,2020-05-26,70-79,0.0,0.0,0.0
ARG,2020-05-26,80-89,0.0,0.0,0.0
ARG,2020-05-26,90-99,0.0,0.0,0.0
ARG,2020-05-27,100+,0.0,0.0,0.0
ARG,2020-05-27,12-17,0.0,0.0,0.0
ARG,2020-05-27,18-29,0.0,0.0,0.0
ARG,2020-05-27,3-11,0.0,0.0,0.0
ARG,2020-05-27,30-39,0.0,0.0,0.0
ARG,2020-05-27,40-49,0.0,0.0,0.0
ARG,2020-05-27,50-59,0.0,0.0,0.0
ARG,2020-05-27,60-69,0.0,0.0,0.0
ARG,2020-05-27,70-79,0.0,0.0,0.0
ARG,2020-05-27,80-89,0.0,0.0,0.0
ARG,2020-05-27,90-99,0.0,0.0,0.0
ARG,2020-05-28,100+,0.0,0.0,0.0
ARG,2020-05-28,12-17,0.0,0.0,0.0
ARG,2020-05-28,18-29,0.0,0.0,0.0
ARG,2020-05-28,3-11,0.0,0.0,0.0
ARG,2020-05-28,30-39,0.0,0.0,0.0
ARG,2020-05-28,40-49,0.0,0.0,0.0
ARG,2020-05-28,50-59,0.0,0.0,0.0
ARG,2020-05-28,60-69,0.0,0.0,0.0
ARG,2020-05-28,70-79,0.0,0.0,0.0
ARG,2020-05-28,80-89,0.0,0.0,0.0
ARG,2020-05-28,90-99,0.0,0.0,0.0
ARG,2020-05-29,100+,0.0,0.0,0.0
ARG,2020-05-29,12-17,0.0,0.0,0.0
ARG,2020-05-29,18-29,0.0,0.0,0.0
ARG,2020-05-29,3-11,0.0,0.0,0.0
ARG,2020-05-29,30-39,0.0,0.0,0.0
ARG,2020-05-29,40-49,0.0,0.0,0.0
ARG,2020-05-29,50-59,0.0,0.0,0.0
ARG,2020-05-29,60-69,0.0,0.0,0.0
ARG,2020-05-29,70-79,0.0,0.0,0.0
ARG,2020-05-29,80-89,0.0,0.0,0.0
ARG,2020-05-29,90-99,0.0,0.0,0.0
ARG,2020-05-30,100+,0.0,0.0,0.0
ARG,2020-05-30,12-17,0.0,0.0,0.0
ARG,2020-05-30,18-29,0.0,0.0,0.0
ARG,2020-05-30,3-11,0.0,0.0,0.0
ARG,2020-05-30,30-39,0.0,0.0,0.0
ARG,2020-05-30,40-49,0.0,0.0,0.0
ARG,2020-05-30,50-59,0.0,0.0,0.0
ARG,2020-05-30,60-69,0.0,0.0,0.0
ARG,2020-05-30,70-79,0.0,0.0,0.0
ARG,2020-05-30,80-89,0.0,0.0,0.0
ARG,2020-05-30,90-99,0.0,0.0,0.0
ARG,2020-05-31,100+,0.0,0.0,0.0
ARG,2020-05-31,12-17,0.0,0.0,0.0
ARG,2020-05-31,18-29,0.0,0.0,0.0
ARG,2020-05-31,3-11,0.0,0.0,0.0
ARG,2020-05-31,30-39,0.0,0.0,0.0
ARG,2020-05-31,40-49,0.0,0.0,0.0
ARG,2020-05-31,50-59,0.0,0.0,0.0
ARG,2020-05-31,60-69,0.0,0.0,0.0
ARG,2020-05-31,70-79,0.0,0.0,0.0
ARG,2020-05-31,80-89,0.0,0.0,0.0
ARG,2020-05-31,90-99,0.0,0.0,0.0
ARG,2020-06-01,100+,0.0,0.0,0.0
ARG,2020-06-01,12-17,0.0,0.0,0.0
ARG,2020-06-01,18-29,0.0,0.0,0.0
ARG,2020-06-01,3-11,0.0,0.0,0.0
ARG,2020-06-01,30-39,0.0,0.0,0.0
ARG,2020-06-01,40-49,0.0,0.0,0.0
ARG,2020-06-01,50-59,0.0,0.0,0.0
ARG,2020-06-01,60-69,0.0,0.0,0.0
ARG,2020-06-01,70-79,0.0,0.0,0.0
ARG,2020-06-01,80-89,0.0,0.0,0.0
ARG,2020-06-01,90-99,0.0,0.0,0.0
ARG,2020-06-02,100+,0.0,0.0,0.0
ARG,2020-06-02,12-17,0.0,0.0,0.0
ARG,2020-06-02,18-29,0.0,0.0,0.0
ARG,2020-06-02,3-11,0.0,0.0,0.0
ARG,2020-06-02,30-39,0.0,0.0,0.0
ARG,2020-06-02,40-49,0.0,0.0,0.0
ARG,2020-06-02,50-59,0.0,0.0,0.0
ARG,2020-06-02,60-69,0.0,0.0,0.0
ARG,2020-06-02,70-79,0.0,0.0,0.0
ARG,2020-06-02,80-89,0.0,0.0,0.0
ARG,2020-06-02,90-99,0.0,0.0,0.0
ARG,2020-06-03,100+,0.0,0.0,0.0
ARG,2020-06-03,12-17,0.0,0.0,0.0
ARG,2020-06-03,18-29,0.0,0.0,0.0
ARG,2020-06-03,3-11,0.0,0.0,0.0
ARG,2020-06-03,30-39,0.0,0.0,0.0
ARG,2020-06-03,40-49,0.0,0.0,0.0
ARG,2020-06-03,50-59,0.0,0.0,0.0
ARG,2020-06-03,60-69,0.0,0.0,0.0
ARG,2020-06-03,70-79,0.0,0.0,0.0
ARG,2020-06-03,80-89,0.0,0.0,0.0
ARG,2020-06-03,90-99,0.0,0.0,0.0
ARG,2020-06-04,100+,0.0,0.0,0.0
ARG,2020-06-04,12-17,0.0,0.0,0.0
ARG,2020-06-04,18-29,0.0,0.0,0.0
ARG,2020-06-04,3-11,0.0,0.0,0.0
ARG,2020-06-04,30-39,0.0,0.0,0.0
ARG,2020-06-04,40-49,0.0,0.0,0.0
ARG,2020-06-04,50-59,0.0,0.0,0.0
ARG,2020-06-04,60-69,0.0,0.0,0.0
ARG,2020-06-04,70-79,0.0,0.0,0.0
ARG,2020-06-04,80-89,0.0,0.0,0.0
ARG,2020-06-04,90-99,0.0,0.0,0.0
ARG,2020-06-05,100+,0.0,0.0,0.0
ARG,2020-06-05,12-17,0.0,0.0,0.0
ARG,2020-06-05,18-29,0.0,0.0,0.0
ARG,2020-06-05,3-11,0.0,0.0,0.0
ARG,2020-06-05,30-39,0.0,0.0,0.0
ARG,2020-06-05,40-49,0.0,0.0,0.0
ARG,2020-06-05,50-59,0.0,0.0,0.0
ARG,2020-06-05,60-69,0.0,0.0,0.0
ARG,2020-06-05,70-79,0.0,0.0,0.0
ARG,2020-06-05,80-89,0.0,0.0,0.0
ARG,2020-06-05,90-99,0.0,0.0,0.0
ARG,2020-06-06,100+,0.0,0.0,0.0
ARG,2020-06-06,12-17,0.0,0.0,0.0
ARG,2020-06-06,18-29,0.0,0.0,0.0
ARG,2020-06-06,3-11,0.0,0.0,0.0
ARG,2020-06-06,30-39,0.0,0.0,0.0
ARG,2020-06-06,40-49,0.0,0.0,0.0
ARG,2020-06-06,50-59,0.0,0.0,0.0
ARG,2020-06-06,60-69,0.0,0.0,0.0
ARG,2020-06-06,70-79,0.0,0.0,0.0
ARG,2020-06-06,80-89,0.0,0.0,0.0
ARG,2020-06-06,90-99,0.0,0.0,0.0
ARG,2020-06-07,100+,0.0,0.0,0.0
ARG,2020-06-07,12-17,0.0,0.0,0.0
ARG,2020-06-07,18-29,0.0,0.0,0.0
ARG,2020-06-07,3-11,0.0,0.0,0.0
ARG,2020-06-07,30-39,0.0,0.0,0.0
ARG,2020-06-07,40-49,0.0,0.0,0.0
ARG,2020-06-07,50-59,0.0,0.0,0.0
ARG,2020-06-07,60-69,0.0,0.0,0.0
ARG,2020-06-07,70-79,0.0,0.0,0.0
ARG,2020-06-07,80-89,0.0,0.0,0.0
ARG,2020-06-07,90-99,0.0,0.0,0.0
ARG,2020-06-08,100+,0.0,0.0,0.0
ARG,2020-06-08,12-17,0.0,0.0,0.0
ARG,2020-06-08,18-29,0.0,0.0,0.0
ARG,2020-06-08,3-11,0.0,0.0,0.0
ARG,2020-06-08,30-39,0.0,0.0,0.0
ARG,2020-06-08,40-49,0.0,0.0,0.0
ARG,2020-06-08,50-59,0.0,0.0,0.0
ARG,2020-06-08,60-69,0.0,0.0,0.0
ARG,2020-06-08,70-79,0.0,0.0,0.0
ARG,2020-06-08,80-89,0.0,0.0,0.0
ARG,2020-06-08,90-99,0.0,0.0,0.0
ARG,2020-06-09,100+,0.0,0.0,0.0
ARG,2020-06-09,12-17,0.0,0.0,0.0
ARG,2020-06-09,18-29,0.0,0.0,0.0
ARG,2020-06-09,3-11,0.0,0.0,0.0
ARG,2020-06-09,30-39,0.0,0.0,0.0
ARG,2020-06-09,40-49,0.0,0.0,0.0
ARG,2020-06-09,50-59,0.0,0.0,0.0
ARG,2020-06-09,60-69,0.0,0.0,0.0
ARG,2020-06-09,70-79,0.0,0.0,0.0
ARG,2020-06-09,80-89,0.0,0.0,0.0
ARG,2020-06-09,90-99,0.0,0.0,0.0
ARG,2020-06-10,100+,0.0,0.0,0.0
ARG,2020-06-10,12-17,0.0,0.0,0.0
ARG,2020-06-10,18-29,0.0,0.0,0.0
ARG,2020-06-10,3-11,0.0,0.0,0.0
ARG,2020-06-10,30-39,0.0,0.0,0.0
ARG,2020-06-10,40-49,0.0,0.0,0.0
ARG,2020-06-10,50-59,0.0,0.0,0.0
ARG,2020-06-10,60-69,0.0,0.0,0.0
ARG,2020-06-10,70-79,0.0,0.0,0.0
ARG,2020-06-10,80-89,0.0,0.0,0.0
ARG,2020-06-10,90-99,0.0,0.0,0.0
ARG,2020-06-11,100+,0.0,0.0,0.0
ARG,2020-06-11,12-17,0.0,0.0,0.0
ARG,2020-06-11,18-29,0.0,0.0,0.0
ARG,2020-06-11,3-11,0.0,0.0,0.0
ARG,2020-06-11,30-39,0.0,0.0,0.0
ARG,2020-06-11,40-49,0.0,0.0,0.0
ARG,2020-06-11,50-59,0.0,0.0,0.0
ARG,2020-06-11,60-69,0.0,0.0,0.0
ARG,2020-06-11,70-79,0.0,0.0,0.0
ARG,2020-06-11,80-89,0.0,0.0,0.0
ARG,2020-06-11,90-99,0.0,0.0,0.0
ARG,2020-06-12,100+,0.0,0.0,0.0
ARG,2020-06-12,12-17,0.0,0.0,0.0
ARG,2020-06-12,18-29,0.0,0.0,0.0
ARG,2020-06-12,3-11,0.0,0.0,0.0
ARG,2020-06-12,30-39,0.0,0.0,0.0
ARG,2020-06-12,40-49,0.0,0.0,0.0
ARG,2020-06-12,50-59,0.0,0.0,0.0
ARG,2020-06-12,60-69,0.0,0.0,0.0
ARG,2020-06-12,70-79,0.0,0.0,0.0
ARG,2020-06-12,80-89,0.0,0.0,0.0
ARG,2020-06-12,90-99,0.0,0.0,0.0
ARG,2020-06-13,100+,0.0,0.0,0.0
ARG,2020-06-13,12-17,0.0,0.0,0.0
ARG,2020-06-13,18-29,0.0,0.0,0.0
ARG,2020-06-13,3-11,0.0,0.0,0.0
ARG,2020-06-13,30-39,0.0,0.0,0.0
ARG,2020-06-13,40-49,0.0,0.0,0.0
ARG,2020-06-13,50-59,0.0,0.0,0.0
ARG,2020-06-13,60-69,0.0,0.0,0.0
ARG,2020-06-13,70-79,0.0,0.0,0.0
ARG,2020-06-13,80-89,0.0,0.0,0.0
ARG,2020-06-13,90-99,0.0,0.0,0.0
ARG,2020-06-14,100+,0.0,0.0,0.0
ARG,2020-06-14,12-17,0.0,0.0,0.0
ARG,2020-06-14,18-29,0.0,0.0,0.0
ARG,2020-06-14,3-11,0.0,0.0,0.0
ARG,2020-06-14,30-39,0.0,0.0,0.0
ARG,2020-06-14,40-49,0.0,0.0,0.0
ARG,2020-06-14,50-59,0.0,0.0,0.0
ARG,2020-06-14,60-69,0.0,0.0,0.0
ARG,2020-06-14,70-79,0.0,0.0,0.0
ARG,2020-06-14,80-89,0.0,0.0,0.0
ARG,2020-06-14,90-99,0.0,0.0,0.0
ARG,2020-06-15,100+,0.0,0.0,0.0
ARG,2020-06-15,12-17,0.0,0.0,0.0
ARG,2020-06-15,18-29,0.0,0.0,0.0
ARG,2020-06-15,3-11,0.0,0.0,0.0
ARG,2020-06-15,30-39,0.0,0.0,0.0
ARG,2020-06-15,40-49,0.0,0.0,0.0
ARG,2020-06-15,50-59,0.0,0.0,0.0
ARG,2020-06-15,60-69,0.0,0.0,0.0
ARG,2020-06-15,70-79,0.0,0.0,0.0
ARG,2020-06-15,80-89,0.0,0.0,0.0
ARG,2020-06-15,90-99,0.0,0.0,0.0
ARG,2020-06-16,100+,0.0,0.0,0.0
ARG,2020-06-16,12-17,0.0,0.0,0.0
ARG,2020-06-16,18-29,0.0,0.0,0.0
ARG,2020-06-16,3-11,0.0,0.0,0.0
ARG,2020-06-16,30-39,0.0,0.0,0.0
ARG,2020-06-16,40-49,0.0,0.0,0.0
ARG,2020-06-16,50-59,0.0,0.0,0.0
ARG,2020-06-16,60-69,0.0,0.0,0.0
ARG,2020-06-16,70-79,0.0,0.0,0.0
ARG,2020-06-16,80-89,0.0,0.0,0.0
ARG,2020-06-16,90-99,0.0,0.0,0.0
ARG,2020-06-17,100+,0.0,0.0,0.0
ARG,2020-06-17,12-17,0.0,0.0,0.0
ARG,2020-06-17,18-29,0.0,0.0,0.0
ARG,2020-06-17,3-11,0.0,0.0,0.0
ARG,2020-06-17,30-39,0.0,0.0,0.0
ARG,2020-06-17,40-49,0.0,0.0,0.0
ARG,2020-06-17,50-59,0.0,0.0,0.0
ARG,2020-06-17,60-69,0.0,0.0,0.0
ARG,2020-06-17,70-79,0.0,0.0,0.0
ARG,2020-06-17,80-89,0.0,0.0,0.0
ARG,2020-06-17,90-99,0.0,0.0,0.0
ARG,2020-06-18,100+,0.0,0.0,0.0
ARG,2020-06-18,12-17,0.0,0.0,0.0
ARG,2020-06-18,18-29,0.0,0.0,0.0
ARG,2020-06-18,3-11,0.0,0.0,0.0
ARG,2020-06-18,30-39,0.0,0.0,0.0
ARG,2020-06-18,40-49,0.0,0.0,0.0
ARG,2020-06-18,50-59,0.0,0.0,0.0
ARG,2020-06-18,60-69,0.0,0.0,0.0
ARG,2020-06-18,70-79,0.0,0.0,0.0
ARG,2020-06-18,80-89,0.0,0.0,0.0
ARG,2020-06-18,90-99,0.0,0.0,0.0
ARG,2020-06-19,100+,0.0,0.0,0.0
ARG,2020-06-19,12-17,0.0,0.0,0.0
ARG,2020-06-19,18-29,0.0,0.0,0.0
ARG,2020-06-19,3-11,0.0,0.0,0.0
ARG,2020-06-19,30-39,0.0,0.0,0.0
ARG,2020-06-19,40-49,0.0,0.0,0.0
ARG,2020-06-19,50-59,0.0,0.0,0.0
ARG,2020-06-19,60-69,0.0,0.0,0.0
ARG,2020-06-19,70-79,0.0,0.0,0.0
ARG,2020-06-19,80-89,0.0,0.0,0.0
ARG,2020-06-19,90-99,0.0,0.0,0.0
ARG,2020-06-20,100+,0.0,0.0,0.0
ARG,2020-06-20,12-17,0.0,0.0,0.0
ARG,2020-06-20,18-29,0.0,0.0,0.0
ARG,2020-06-20,3-11,0.0,0.0,0.0
ARG,2020-06-20,30-39,0.0,0.0,0.0
ARG,2020-06-20,40-49,0.0,0.0,0.0
ARG,2020-06-20,50-59,0.0,0.0,0.0
ARG,2020-06-20,60-69,0.0,0.0,0.0
ARG,2020-06-20,70-79,0.0,0.0,0.0
ARG,2020-06-20,80-89,0.0,0.0,0.0
ARG,2020-06-20,90-99,0.0,0.0,0.0
ARG,2020-06-21,100+,0.0,0.0,0.0
ARG,2020-06-21,12-17,0.0,0.0,0.0
ARG,2020-06-21,18-29,0.0,0.0,0.0
ARG,2020-06-21,3-11,0.0,0.0,0.0
ARG,2020-06-21,30-39,0.0,0.0,0.0
ARG,2020-06-21,40-49,0.0,0.0,0.0
ARG,2020-06-21,50-59,0.0,0.0,0.0
ARG,2020-06-21,60-69,0.0,0.0,0.0
